UI,Name,Count,DateRange,PriorYearCount,PriorYearDateRange
D000071480,APOBEC-3G Deaminase,6,2025/01/01-2025/12/31,10,2024/01/01-2024/12/31
D000071496,AlkB Enzymes,375,2025/01/01-2025/12/31,343,2024/01/01-2024/12/31
D000071497,"Immunogenicity, Vaccine",597,2025/01/01-2025/12/31,464,2024/01/01-2024/12/31
D000071498,"AlkB Homolog 1, Histone H2a Dioxygenase",10,2025/01/01-2025/12/31,4,2024/01/01-2024/12/31
D000071499,"AlkB Homolog 2, Alpha-Ketoglutarate-Dependent Dioxygenase",5,2025/01/01-2025/12/31,5,2024/01/01-2024/12/31
D000071500,"AlkB Homolog 3, Alpha-Ketoglutarate-Dependent Dioxygenase",5,2025/01/01-2025/12/31,10,2024/01/01-2024/12/31
D000071501,"AlkB Homolog 4, Lysine Demethylase",0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000071502,"AlkB Homolog 5, RNA Demethylase",125,2025/01/01-2025/12/31,103,2024/01/01-2024/12/31
D000071503,"AlkB Homolog 8, tRNA Methyltransferase",1,2025/01/01-2025/12/31,2,2024/01/01-2024/12/31
D000071516,Alpha-Ketoglutarate-Dependent Dioxygenase FTO,239,2025/01/01-2025/12/31,226,2024/01/01-2024/12/31
D000071518,Liver X Receptors,102,2025/01/01-2025/12/31,110,2024/01/01-2024/12/31
D000071538,Cortical Bone,156,2025/01/01-2025/12/31,163,2024/01/01-2024/12/31
D000071556,Cancellous Bone,230,2025/01/01-2025/12/31,217,2024/01/01-2024/12/31
D000071557,beta-Arrestins,136,2025/01/01-2025/12/31,126,2024/01/01-2024/12/31
D000071559,beta-Arrestin 1,23,2025/01/01-2025/12/31,27,2024/01/01-2024/12/31
D000071560,beta-Arrestin 2,54,2025/01/01-2025/12/31,43,2024/01/01-2024/12/31
D000071562,"Fractures, Avulsion",54,2025/01/01-2025/12/31,40,2024/01/01-2024/12/31
D000071576,Crush Injuries,59,2025/01/01-2025/12/31,85,2024/01/01-2024/12/31
