UI,Name,Count,DateRange,PriorYearCount,PriorYearDateRange
D000001,Calcimycin,8,2025/01/01-2025/12/31,16,2024/01/01-2024/12/31
D000002,Temefos,9,2025/01/01-2025/12/31,10,2024/01/01-2024/12/31
D000003,Abattoirs,222,2025/01/01-2025/12/31,193,2024/01/01-2024/12/31
D000004,Abbreviations as Topic,6,2025/01/01-2025/12/31,13,2024/01/01-2024/12/31
D000005,Abdomen,1707,2025/01/01-2025/12/31,1916,2024/01/01-2024/12/31
D000006,"Abdomen, Acute",61,2025/01/01-2025/12/31,85,2024/01/01-2024/12/31
D000007,Abdominal Injuries,235,2025/01/01-2025/12/31,325,2024/01/01-2024/12/31
D000008,Abdominal Neoplasms,900,2025/01/01-2025/12/31,964,2024/01/01-2024/12/31
D000009,Abdominal Muscles,760,2025/01/01-2025/12/31,806,2024/01/01-2024/12/31
D000010,Abducens Nerve,2,2025/01/01-2025/12/31,11,2024/01/01-2024/12/31
D000011,Abelson murine leukemia virus,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000012,Abetalipoproteinemia,1,2025/01/01-2025/12/31,4,2024/01/01-2024/12/31
D000013,Congenital Abnormalities,15493,2025/01/01-2025/12/31,17727,2024/01/01-2024/12/31
D000014,"Abnormalities, Drug-Induced",88,2025/01/01-2025/12/31,91,2024/01/01-2024/12/31
D000015,"Abnormalities, Multiple",2643,2025/01/01-2025/12/31,3021,2024/01/01-2024/12/31
D000016,"Abnormalities, Radiation-Induced",5,2025/01/01-2025/12/31,3,2024/01/01-2024/12/31
D000017,ABO Blood-Group System,263,2025/01/01-2025/12/31,256,2024/01/01-2024/12/31
D000018,Abomasum,22,2025/01/01-2025/12/31,29,2024/01/01-2024/12/31
D000019,Abortifacient Agents,123,2025/01/01-2025/12/31,152,2024/01/01-2024/12/31
D000020,"Abortifacient Agents, Nonsteroidal",77,2025/01/01-2025/12/31,98,2024/01/01-2024/12/31
D000021,"Abortifacient Agents, Steroidal",31,2025/01/01-2025/12/31,35,2024/01/01-2024/12/31
D000022,"Abortion, Spontaneous",1027,2025/01/01-2025/12/31,1138,2024/01/01-2024/12/31
D000023,Abortion Applicants,9,2025/01/01-2025/12/31,13,2024/01/01-2024/12/31
D000024,"Abortion, Illegal",6,2025/01/01-2025/12/31,4,2024/01/01-2024/12/31
D000025,"Abortion, Eugenic",3,2025/01/01-2025/12/31,2,2024/01/01-2024/12/31
D000026,"Abortion, Habitual",422,2025/01/01-2025/12/31,363,2024/01/01-2024/12/31
D000027,"Abortion, Incomplete",12,2025/01/01-2025/12/31,7,2024/01/01-2024/12/31
D000028,"Abortion, Induced",756,2025/01/01-2025/12/31,907,2024/01/01-2024/12/31
D000029,"Abortion, Legal",116,2025/01/01-2025/12/31,168,2024/01/01-2024/12/31
D000030,"Abortion, Missed",16,2025/01/01-2025/12/31,19,2024/01/01-2024/12/31
D000031,"Abortion, Septic",2,2025/01/01-2025/12/31,2,2024/01/01-2024/12/31
D000032,"Abortion, Therapeutic",2,2025/01/01-2025/12/31,4,2024/01/01-2024/12/31
D000033,"Abortion, Threatened",17,2025/01/01-2025/12/31,19,2024/01/01-2024/12/31
D000034,"Abortion, Veterinary",114,2025/01/01-2025/12/31,98,2024/01/01-2024/12/31
D000035,Abreaction,0,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000036,Abrin,5,2025/01/01-2025/12/31,7,2024/01/01-2024/12/31
D000037,Abruptio Placentae,49,2025/01/01-2025/12/31,59,2024/01/01-2024/12/31
D000038,Abscess,709,2025/01/01-2025/12/31,874,2024/01/01-2024/12/31
D000039,Peritonsillar Abscess,18,2025/01/01-2025/12/31,31,2024/01/01-2024/12/31
D000040,Abscisic Acid,685,2025/01/01-2025/12/31,642,2024/01/01-2024/12/31
D000041,Absenteeism,288,2025/01/01-2025/12/31,242,2024/01/01-2024/12/31
D000042,Absorption,1309,2025/01/01-2025/12/31,1244,2024/01/01-2024/12/31
D000043,Abstracting and Indexing,81,2025/01/01-2025/12/31,74,2024/01/01-2024/12/31
D000044,Dental Abutments,272,2025/01/01-2025/12/31,251,2024/01/01-2024/12/31
D000045,Acacia,56,2025/01/01-2025/12/31,82,2024/01/01-2024/12/31
D000046,Academic Medical Centers,1979,2025/01/01-2025/12/31,2170,2024/01/01-2024/12/31
D000047,Academies and Institutes,527,2025/01/01-2025/12/31,712,2024/01/01-2024/12/31
D000048,Acanthamoeba,120,2025/01/01-2025/12/31,108,2024/01/01-2024/12/31
D000049,Acanthocephala,42,2025/01/01-2025/12/31,39,2024/01/01-2024/12/31
D000050,Acanthocytes,1,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000051,Acantholysis,7,2025/01/01-2025/12/31,13,2024/01/01-2024/12/31
D000052,Acanthosis Nigricans,15,2025/01/01-2025/12/31,19,2024/01/01-2024/12/31
D000053,Acari,1670,2025/01/01-2025/12/31,1762,2024/01/01-2024/12/31
D000054,Acceleration,369,2025/01/01-2025/12/31,424,2024/01/01-2024/12/31
D000055,Accessory Nerve,21,2025/01/01-2025/12/31,21,2024/01/01-2024/12/31
D000056,Accident Prevention,2377,2025/01/01-2025/12/31,2175,2024/01/01-2024/12/31
D000057,Accident Proneness,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000058,Accidental Falls,1770,2025/01/01-2025/12/31,1360,2024/01/01-2024/12/31
D000059,Accidents,5747,2025/01/01-2025/12/31,5322,2024/01/01-2024/12/31
D000060,"Accidents, Aviation",26,2025/01/01-2025/12/31,21,2024/01/01-2024/12/31
D000061,"Accidents, Home",41,2025/01/01-2025/12/31,20,2024/01/01-2024/12/31
D000062,"Accidents, Occupational",214,2025/01/01-2025/12/31,191,2024/01/01-2024/12/31
D000063,"Accidents, Traffic",1422,2025/01/01-2025/12/31,1527,2024/01/01-2024/12/31
D000064,Acclimatization,1778,2025/01/01-2025/12/31,1389,2024/01/01-2024/12/31
D000065,"Accommodation, Ocular",161,2025/01/01-2025/12/31,125,2024/01/01-2024/12/31
D000066,Accounting,32,2025/01/01-2025/12/31,41,2024/01/01-2024/12/31
D000067,Accounts Payable and Receivable,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000068,Accreditation,257,2025/01/01-2025/12/31,318,2024/01/01-2024/12/31
D000069,Acculturation,176,2025/01/01-2025/12/31,188,2024/01/01-2024/12/31
D000070,Acebutolol,0,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000072,Acedapsone,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000073,Acenaphthenes,12,2025/01/01-2025/12/31,15,2024/01/01-2024/12/31
D000074,Acenocoumarol,6,2025/01/01-2025/12/31,5,2024/01/01-2024/12/31
D000075,Acepromazine,11,2025/01/01-2025/12/31,7,2024/01/01-2024/12/31
D000076,Acetabularia,0,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000077,Acetabulum,477,2025/01/01-2025/12/31,618,2024/01/01-2024/12/31
D000079,Acetaldehyde,75,2025/01/01-2025/12/31,90,2024/01/01-2024/12/31
D000080,Acetals,20,2025/01/01-2025/12/31,25,2024/01/01-2024/12/31
D000081,Acetamides,868,2025/01/01-2025/12/31,907,2024/01/01-2024/12/31
D000082,Acetaminophen,675,2025/01/01-2025/12/31,714,2024/01/01-2024/12/31
D000083,Acetanilides,1248,2025/01/01-2025/12/31,1289,2024/01/01-2024/12/31
D000084,Acetate Kinase,3,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000085,Acetates,2698,2025/01/01-2025/12/31,3118,2024/01/01-2024/12/31
D000086,Acetazolamide,80,2025/01/01-2025/12/31,95,2024/01/01-2024/12/31
D000089,Acetic Anhydrides,2,2025/01/01-2025/12/31,5,2024/01/01-2024/12/31
D000090,Acetoacetates,15,2025/01/01-2025/12/31,16,2024/01/01-2024/12/31
D000091,Acetobacter,23,2025/01/01-2025/12/31,24,2024/01/01-2024/12/31
D000092,Acetohexamide,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000093,Acetoin,20,2025/01/01-2025/12/31,18,2024/01/01-2024/12/31
D000094,Acetoin Dehydrogenase,0,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000095,Acetolactate Synthase,53,2025/01/01-2025/12/31,51,2024/01/01-2024/12/31
D000096,Acetone,103,2025/01/01-2025/12/31,144,2024/01/01-2024/12/31
D000097,Acetonitriles,59,2025/01/01-2025/12/31,138,2024/01/01-2024/12/31
D000098,Acetophenones,100,2025/01/01-2025/12/31,93,2024/01/01-2024/12/31
D000099,Acetoxyacetylaminofluorene,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000100,Acetrizoic Acid,0,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000101,Acetyl-CoA C-Acetyltransferase,21,2025/01/01-2025/12/31,16,2024/01/01-2024/12/31
D000102,Acetyl-CoA C-Acyltransferase,16,2025/01/01-2025/12/31,16,2024/01/01-2024/12/31
D000103,Acetyl-CoA Carboxylase,97,2025/01/01-2025/12/31,95,2024/01/01-2024/12/31
D000104,Acetyl-CoA Hydrolase,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000105,Acetyl Coenzyme A,118,2025/01/01-2025/12/31,109,2024/01/01-2024/12/31
D000106,Acetate-CoA Ligase,39,2025/01/01-2025/12/31,33,2024/01/01-2024/12/31
D000107,Acetylation,1070,2025/01/01-2025/12/31,881,2024/01/01-2024/12/31
D000108,Acetylcarnitine,23,2025/01/01-2025/12/31,20,2024/01/01-2024/12/31
D000109,Acetylcholine,266,2025/01/01-2025/12/31,289,2024/01/01-2024/12/31
D000110,Acetylcholinesterase,906,2025/01/01-2025/12/31,1015,2024/01/01-2024/12/31
D000111,Acetylcysteine,329,2025/01/01-2025/12/31,340,2024/01/01-2024/12/31
D000112,Acetyldigitoxins,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000113,Acetyldigoxins,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000114,Acetylene,14,2025/01/01-2025/12/31,19,2024/01/01-2024/12/31
D000115,Acetylesterase,4,2025/01/01-2025/12/31,7,2024/01/01-2024/12/31
D000116,Acetylgalactosamine,57,2025/01/01-2025/12/31,49,2024/01/01-2024/12/31
D000117,Acetylglucosamine,174,2025/01/01-2025/12/31,165,2024/01/01-2024/12/31
D000118,Acetylglucosaminidase,28,2025/01/01-2025/12/31,34,2024/01/01-2024/12/31
D000119,Acetylmuramyl-Alanyl-Isoglutamine,16,2025/01/01-2025/12/31,18,2024/01/01-2024/12/31
D000120,Acecainide,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000121,Acetylserotonin O-Methyltransferase,5,2025/01/01-2025/12/31,5,2024/01/01-2024/12/31
D000122,Acetylthiocholine,4,2025/01/01-2025/12/31,3,2024/01/01-2024/12/31
D000123,Acetyltransferases,1095,2025/01/01-2025/12/31,956,2024/01/01-2024/12/31
D000124,Achievement,76,2025/01/01-2025/12/31,94,2024/01/01-2024/12/31
D000125,Achilles Tendon,420,2025/01/01-2025/12/31,432,2024/01/01-2024/12/31
D000126,Achlorhydria,2,2025/01/01-2025/12/31,3,2024/01/01-2024/12/31
D000127,Acholeplasma,0,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000128,Acholeplasma laidlawii,0,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000129,Acholeplasmataceae,40,2025/01/01-2025/12/31,43,2024/01/01-2024/12/31
D000130,Achondroplasia,77,2025/01/01-2025/12/31,75,2024/01/01-2024/12/31
D000134,"Acid Etching, Dental",98,2025/01/01-2025/12/31,95,2024/01/01-2024/12/31
D000135,Acid Phosphatase,87,2025/01/01-2025/12/31,122,2024/01/01-2024/12/31
D000136,Acid-Base Equilibrium,132,2025/01/01-2025/12/31,124,2024/01/01-2024/12/31
D000137,Acid-Base Imbalance,698,2025/01/01-2025/12/31,779,2024/01/01-2024/12/31
D000138,Acidosis,664,2025/01/01-2025/12/31,723,2024/01/01-2024/12/31
D000140,"Acidosis, Lactic",45,2025/01/01-2025/12/31,65,2024/01/01-2024/12/31
D000141,"Acidosis, Renal Tubular",39,2025/01/01-2025/12/31,43,2024/01/01-2024/12/31
D000142,"Acidosis, Respiratory",7,2025/01/01-2025/12/31,11,2024/01/01-2024/12/31
D000143,Acids,4942,2025/01/01-2025/12/31,5403,2024/01/01-2024/12/31
D000144,"Acids, Acyclic",14053,2025/01/01-2025/12/31,15074,2024/01/01-2024/12/31
D000145,"Acids, Aldehydic",463,2025/01/01-2025/12/31,457,2024/01/01-2024/12/31
D000146,"Acids, Carbocyclic",8794,2025/01/01-2025/12/31,9304,2024/01/01-2024/12/31
D000147,"Acids, Heterocyclic",2215,2025/01/01-2025/12/31,2261,2024/01/01-2024/12/31
D000148,"Acids, Noncarboxylic",4730,2025/01/01-2025/12/31,5157,2024/01/01-2024/12/31
D000149,Acidulated Phosphate Fluoride,5,2025/01/01-2025/12/31,6,2024/01/01-2024/12/31
D000150,Acinetobacter,953,2025/01/01-2025/12/31,862,2024/01/01-2024/12/31
D000151,Acinetobacter Infections,480,2025/01/01-2025/12/31,399,2024/01/01-2024/12/31
D000152,Acne Vulgaris,429,2025/01/01-2025/12/31,584,2024/01/01-2024/12/31
D000153,Acne Keloid,3,2025/01/01-2025/12/31,6,2024/01/01-2024/12/31
D000154,Aconitate Hydratase,25,2025/01/01-2025/12/31,28,2024/01/01-2024/12/31
D000156,Aconitic Acid,1,2025/01/01-2025/12/31,3,2024/01/01-2024/12/31
D000157,Aconitine,39,2025/01/01-2025/12/31,45,2024/01/01-2024/12/31
D000158,Acoustic Impedance Tests,80,2025/01/01-2025/12/31,60,2024/01/01-2024/12/31
D000159,Vestibulocochlear Nerve,152,2025/01/01-2025/12/31,120,2024/01/01-2024/12/31
D000160,Vestibulocochlear Nerve Diseases,386,2025/01/01-2025/12/31,377,2024/01/01-2024/12/31
D000161,Acoustic Stimulation,1529,2025/01/01-2025/12/31,1251,2024/01/01-2024/12/31
D000162,Acoustics,906,2025/01/01-2025/12/31,1054,2024/01/01-2024/12/31
D000163,Acquired Immunodeficiency Syndrome,290,2025/01/01-2025/12/31,504,2024/01/01-2024/12/31
D000164,Acremonium,21,2025/01/01-2025/12/31,22,2024/01/01-2024/12/31
D000165,Acridine Orange,14,2025/01/01-2025/12/31,10,2024/01/01-2024/12/31
D000166,Acridines,110,2025/01/01-2025/12/31,103,2024/01/01-2024/12/31
D000167,Acriflavine,7,2025/01/01-2025/12/31,3,2024/01/01-2024/12/31
D000168,Acrocephalosyndactylia,27,2025/01/01-2025/12/31,26,2024/01/01-2024/12/31
D000169,Acrodermatitis,12,2025/01/01-2025/12/31,22,2024/01/01-2024/12/31
D000170,Acrodynia,1,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000171,Acrolein,236,2025/01/01-2025/12/31,219,2024/01/01-2024/12/31
D000172,Acromegaly,173,2025/01/01-2025/12/31,207,2024/01/01-2024/12/31
D000173,Acromioclavicular Joint,63,2025/01/01-2025/12/31,72,2024/01/01-2024/12/31
D000174,Acromion,46,2025/01/01-2025/12/31,58,2024/01/01-2024/12/31
D000175,Acronine,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000176,Acrosin,1,2025/01/01-2025/12/31,5,2024/01/01-2024/12/31
D000177,Acrosome,51,2025/01/01-2025/12/31,58,2024/01/01-2024/12/31
D000178,Acrylamides,657,2025/01/01-2025/12/31,693,2024/01/01-2024/12/31
D000179,Acrylates,2027,2025/01/01-2025/12/31,2180,2024/01/01-2024/12/31
D000180,Acrylic Resins,1200,2025/01/01-2025/12/31,1139,2024/01/01-2024/12/31
D000181,Acrylonitrile,22,2025/01/01-2025/12/31,30,2024/01/01-2024/12/31
D000182,"ACTH Syndrome, Ectopic",30,2025/01/01-2025/12/31,26,2024/01/01-2024/12/31
D000183,Actihaemyl,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000184,Acting Out,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000185,Actinin,57,2025/01/01-2025/12/31,67,2024/01/01-2024/12/31
D000186,Actinium,67,2025/01/01-2025/12/31,46,2024/01/01-2024/12/31
D000187,Actinobacillosis,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000188,Actinobacillus,50,2025/01/01-2025/12/31,35,2024/01/01-2024/12/31
D000189,Actinobacillus Infections,36,2025/01/01-2025/12/31,21,2024/01/01-2024/12/31
D000190,Actinomyces,39,2025/01/01-2025/12/31,54,2024/01/01-2024/12/31
D000191,Actinomycetaceae,54,2025/01/01-2025/12/31,78,2024/01/01-2024/12/31
D000192,Actinomycetales,104,2025/01/01-2025/12/31,160,2024/01/01-2024/12/31
D000193,Actinomycetales Infections,5117,2025/01/01-2025/12/31,5281,2024/01/01-2024/12/31
D000196,Actinomycosis,56,2025/01/01-2025/12/31,75,2024/01/01-2024/12/31
D000197,"Actinomycosis, Cervicofacial",0,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000198,Spectinomycin,10,2025/01/01-2025/12/31,12,2024/01/01-2024/12/31
D000199,Actins,975,2025/01/01-2025/12/31,1067,2024/01/01-2024/12/31
D000200,Action Potentials,1702,2025/01/01-2025/12/31,1471,2024/01/01-2024/12/31
D000201,Activation Analysis,8,2025/01/01-2025/12/31,12,2024/01/01-2024/12/31
D000202,Activator Appliances,0,2025/01/01-2025/12/31,5,2024/01/01-2024/12/31
D000203,Activities of Daily Living,5889,2025/01/01-2025/12/31,5749,2024/01/01-2024/12/31
D000204,Activity Cycles,3,2025/01/01-2025/12/31,4,2024/01/01-2024/12/31
D000205,Actomyosin,86,2025/01/01-2025/12/31,108,2024/01/01-2024/12/31
D000206,Actuarial Analysis,1764,2025/01/01-2025/12/31,1423,2024/01/01-2024/12/31
D000208,Acute Disease,3483,2025/01/01-2025/12/31,3750,2024/01/01-2024/12/31
D000209,Acute-Phase Proteins,4642,2025/01/01-2025/12/31,4363,2024/01/01-2024/12/31
D000210,Acute-Phase Reaction,16,2025/01/01-2025/12/31,21,2024/01/01-2024/12/31
D000212,Acyclovir,291,2025/01/01-2025/12/31,296,2024/01/01-2024/12/31
D000213,Acyl Carrier Protein,33,2025/01/01-2025/12/31,28,2024/01/01-2024/12/31
D000214,Acyl Coenzyme A,189,2025/01/01-2025/12/31,183,2024/01/01-2024/12/31
D000215,Acylation,1239,2025/01/01-2025/12/31,1038,2024/01/01-2024/12/31
D000216,N-Acylneuraminate Cytidylyltransferase,3,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000217,Acyltransferases,2603,2025/01/01-2025/12/31,2311,2024/01/01-2024/12/31
D000218,Adamantane,224,2025/01/01-2025/12/31,233,2024/01/01-2024/12/31
D000219,Adams-Stokes Syndrome,0,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000220,"Adaptation, Biological",5674,2025/01/01-2025/12/31,4408,2024/01/01-2024/12/31
D000221,"Adaptation, Ocular",61,2025/01/01-2025/12/31,45,2024/01/01-2024/12/31
D000222,"Adaptation, Physiological",5481,2025/01/01-2025/12/31,4252,2024/01/01-2024/12/31
D000223,"Adaptation, Psychological",4960,2025/01/01-2025/12/31,4539,2024/01/01-2024/12/31
D000224,Addison Disease,47,2025/01/01-2025/12/31,46,2024/01/01-2024/12/31
D000225,Adenine,967,2025/01/01-2025/12/31,1230,2024/01/01-2024/12/31
D000226,"Mitochondrial ADP, ATP Translocases",21,2025/01/01-2025/12/31,21,2024/01/01-2024/12/31
D000227,Adenine Nucleotides,3232,2025/01/01-2025/12/31,3423,2024/01/01-2024/12/31
D000228,Adenine Phosphoribosyltransferase,12,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000229,Dependovirus,858,2025/01/01-2025/12/31,681,2024/01/01-2024/12/31
D000230,Adenocarcinoma,17306,2025/01/01-2025/12/31,18709,2024/01/01-2024/12/31
D000231,"Adenocarcinoma, Papillary",840,2025/01/01-2025/12/31,827,2024/01/01-2024/12/31
D000232,Adenofibroma,8,2025/01/01-2025/12/31,7,2024/01/01-2024/12/31
D000233,Adenoidectomy,175,2025/01/01-2025/12/31,171,2024/01/01-2024/12/31
D000234,Adenoids,79,2025/01/01-2025/12/31,69,2024/01/01-2024/12/31
D000235,Adenolymphoma,33,2025/01/01-2025/12/31,34,2024/01/01-2024/12/31
D000236,Adenoma,1903,2025/01/01-2025/12/31,2060,2024/01/01-2024/12/31
D000237,"Adenoma, Basophil",0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000238,"Adenoma, Chromophobe",0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000239,"Adenoma, Acidophil",0,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000241,Adenosine,2219,2025/01/01-2025/12/31,2109,2024/01/01-2024/12/31
D000242,Cyclic AMP,518,2025/01/01-2025/12/31,406,2024/01/01-2024/12/31
D000243,Adenosine Deaminase,232,2025/01/01-2025/12/31,225,2024/01/01-2024/12/31
D000244,Adenosine Diphosphate,137,2025/01/01-2025/12/31,154,2024/01/01-2024/12/31
D000245,Adenosine Diphosphate Glucose,1,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000246,Adenosine Diphosphate Ribose,49,2025/01/01-2025/12/31,67,2024/01/01-2024/12/31
D000247,Adenosine Diphosphate Sugars,50,2025/01/01-2025/12/31,67,2024/01/01-2024/12/31
D000248,Adenosine Kinase,11,2025/01/01-2025/12/31,14,2024/01/01-2024/12/31
D000249,Adenosine Monophosphate,242,2025/01/01-2025/12/31,260,2024/01/01-2024/12/31
D000250,Adenosine Phosphosulfate,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000251,Adenosine Triphosphatases,3462,2025/01/01-2025/12/31,3544,2024/01/01-2024/12/31
D000252,Calcium-Transporting ATPases,181,2025/01/01-2025/12/31,157,2024/01/01-2024/12/31
D000254,Sodium-Potassium-Exchanging ATPase,183,2025/01/01-2025/12/31,183,2024/01/01-2024/12/31
D000255,Adenosine Triphosphate,1445,2025/01/01-2025/12/31,1630,2024/01/01-2024/12/31
D000256,Adenoviridae,447,2025/01/01-2025/12/31,480,2024/01/01-2024/12/31
D000257,Adenoviridae Infections,219,2025/01/01-2025/12/31,214,2024/01/01-2024/12/31
D000258,"Adenovirus Infections, Human",125,2025/01/01-2025/12/31,112,2024/01/01-2024/12/31
D000259,Aviadenovirus,51,2025/01/01-2025/12/31,40,2024/01/01-2024/12/31
D000260,"Adenoviruses, Human",140,2025/01/01-2025/12/31,132,2024/01/01-2024/12/31
D000261,"Adenoviruses, Simian",6,2025/01/01-2025/12/31,5,2024/01/01-2024/12/31
D000262,Adenylyl Cyclases,95,2025/01/01-2025/12/31,101,2024/01/01-2024/12/31
D000263,Adenylate Kinase,38,2025/01/01-2025/12/31,30,2024/01/01-2024/12/31
D000264,Adenylosuccinate Lyase,6,2025/01/01-2025/12/31,4,2024/01/01-2024/12/31
D000265,Adenylosuccinate Synthase,4,2025/01/01-2025/12/31,6,2024/01/01-2024/12/31
D000266,Adenylyl Imidodiphosphate,0,2025/01/01-2025/12/31,4,2024/01/01-2024/12/31
D000267,Tissue Adhesions,348,2025/01/01-2025/12/31,336,2024/01/01-2024/12/31
D000268,Adhesiveness,147,2025/01/01-2025/12/31,87,2024/01/01-2024/12/31
D000269,Adhesives,376,2025/01/01-2025/12/31,399,2024/01/01-2024/12/31
D000270,Adie Syndrome,0,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000272,Adipates,26,2025/01/01-2025/12/31,56,2024/01/01-2024/12/31
D000273,Adipose Tissue,4463,2025/01/01-2025/12/31,4131,2024/01/01-2024/12/31
D000274,Adiposis Dolorosa,1,2025/01/01-2025/12/31,4,2024/01/01-2024/12/31
D000275,Adjustment Disorders,36,2025/01/01-2025/12/31,22,2024/01/01-2024/12/31
D000276,"Adjuvants, Immunologic",795,2025/01/01-2025/12/31,1004,2024/01/01-2024/12/31
D000277,"Adjuvants, Pharmaceutic",203,2025/01/01-2025/12/31,233,2024/01/01-2024/12/31
D000278,"Administration, Buccal",40,2025/01/01-2025/12/31,34,2024/01/01-2024/12/31
D000279,"Administration, Cutaneous",1072,2025/01/01-2025/12/31,1006,2024/01/01-2024/12/31
D000280,"Administration, Inhalation",1108,2025/01/01-2025/12/31,982,2024/01/01-2024/12/31
D000281,"Administration, Intranasal",867,2025/01/01-2025/12/31,734,2024/01/01-2024/12/31
D000282,"Administration, Intravaginal",178,2025/01/01-2025/12/31,163,2024/01/01-2024/12/31
D000283,"Administration, Intravesical",217,2025/01/01-2025/12/31,201,2024/01/01-2024/12/31
D000284,"Administration, Oral",4383,2025/01/01-2025/12/31,3957,2024/01/01-2024/12/31
D000285,"Administration, Rectal",28,2025/01/01-2025/12/31,41,2024/01/01-2024/12/31
D000286,"Administration, Sublingual",70,2025/01/01-2025/12/31,67,2024/01/01-2024/12/31
D000287,"Administration, Topical",3258,2025/01/01-2025/12/31,2978,2024/01/01-2024/12/31
D000288,Administrative Personnel,463,2025/01/01-2025/12/31,509,2024/01/01-2024/12/31
D000289,"Admitting Department, Hospital",0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000290,Adnexa Uteri,2643,2025/01/01-2025/12/31,2258,2024/01/01-2024/12/31
D000291,Adnexal Diseases,5849,2025/01/01-2025/12/31,5705,2024/01/01-2024/12/31
D000292,Pelvic Inflammatory Disease,214,2025/01/01-2025/12/31,224,2024/01/01-2024/12/31
D000293,Adolescent,88497,2025/01/01-2025/12/31,78137,2024/01/01-2024/12/31
D000294,Adolescent Behavior,2151,2025/01/01-2025/12/31,1741,2024/01/01-2024/12/31
D000295,Adolescent Medicine,6,2025/01/01-2025/12/31,9,2024/01/01-2024/12/31
D000296,Adolescent Psychiatry,65,2025/01/01-2025/12/31,85,2024/01/01-2024/12/31
D000297,"Psychology, Adolescent",27,2025/01/01-2025/12/31,26,2024/01/01-2024/12/31
D000298,"Adolescent, Hospitalized",4,2025/01/01-2025/12/31,9,2024/01/01-2024/12/31
D000299,"Adolescent, Institutionalized",2,2025/01/01-2025/12/31,4,2024/01/01-2024/12/31
D000300,Adoption,43,2025/01/01-2025/12/31,51,2024/01/01-2024/12/31
D000301,Adosterol,0,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000302,Adrenal Cortex,41,2025/01/01-2025/12/31,58,2024/01/01-2024/12/31
D000303,Adrenal Cortex Diseases,207,2025/01/01-2025/12/31,213,2024/01/01-2024/12/31
D000304,Adrenal Cortex Function Tests,0,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000305,Adrenal Cortex Hormones,5465,2025/01/01-2025/12/31,5655,2024/01/01-2024/12/31
D000306,Adrenal Cortex Neoplasms,204,2025/01/01-2025/12/31,210,2024/01/01-2024/12/31
D000307,Adrenal Gland Diseases,1553,2025/01/01-2025/12/31,1675,2024/01/01-2024/12/31
D000308,Adrenocortical Hyperfunction,544,2025/01/01-2025/12/31,570,2024/01/01-2024/12/31
D000309,Adrenal Insufficiency,256,2025/01/01-2025/12/31,291,2024/01/01-2024/12/31
D000310,Adrenal Gland Neoplasms,677,2025/01/01-2025/12/31,714,2024/01/01-2024/12/31
D000311,Adrenal Glands,315,2025/01/01-2025/12/31,297,2024/01/01-2024/12/31
D000312,"Adrenal Hyperplasia, Congenital",164,2025/01/01-2025/12/31,183,2024/01/01-2024/12/31
D000313,Adrenal Medulla,17,2025/01/01-2025/12/31,16,2024/01/01-2024/12/31
D000314,Adrenal Rest Tumor,3,2025/01/01-2025/12/31,8,2024/01/01-2024/12/31
D000315,Adrenalectomy,268,2025/01/01-2025/12/31,259,2024/01/01-2024/12/31
