ISSN1,ISSN2,Sourceid,SJR
1542-4863,0007-9235,28773,145
1057-5987,1545-8601,19434,41.75
1471-0072,1471-0080,20315,37.35
0033-5533,1531-4650,29431,35.99
1474-1784,1474-1776,20425,30.51
1759-4782,1759-4774,17700156734,28.68
1944-7981,0002-8282,22697,25.1
1474-175X,1474-1768,12464,24.38
0022-1082,1540-6261,17500,22.84
1935-8245,1935-8237,19300156903,22.8
0092-8674,1097-4172,18434,22.61
0012-9682,1468-0262,19482,21.09
2058-8437,,21100812243,19.43
0034-6527,1467-937X,24202,19.17
0028-4793,1533-4406,15847,19.08
1569-8041,0923-7534,28711,19.07
1535-6108,1878-3686,29093,19.03
1546-1696,1087-0156,16115,19.01
1723-8617,,6200180159,18.42
1546-170X,1078-8956,15819,18.33
1476-4687,0028-0836,21206,18.29
0034-6861,1539-0756,29719,18.08
2056-676X,,21100780831,18
0304-405X,,24379,17.67
2058-7546,,21100812579,17.6
1474-1741,1474-1733,21318,17.46
1548-7091,1548-7105,21100778827,17.25
0022-3808,1537-534X,24404,17.09
1061-4036,1546-1718,18990,16.59
1465-7368,0893-9454,16161,16.55
1520-6890,0009-2665,23340,16.45
1545-3278,0732-0582,20651,16.43
1471-0056,1471-0064,18991,16.36
1551-8922,1551-8930,58530,15.52
1545-8636,1546-0738,71056,15.33
2662-8449,,21101089342,15.03
1748-3387,1748-3395,5200152704,14.61
1433-8351,2367-3613,28677,14.56
0363-7425,,20206,14.4
1476-4660,1476-1122,17854,14.2
1553-877X,,17900156715,14.18
2520-1158,,21100862548,14.13
1941-6520,1941-6067,19900191906,13.88
1740-1534,1740-1526,20313,13.86
0066-4308,1545-2085,12010,13.79
1945-7707,1945-7715,19900191885,13.53
2662-138X,,21101049051,13.46
2397-3358,,21100826569,13.44
1547-7185,0022-2429,22951,13.39
0022-0515,,27165,12.75
1545-4282,0066-4146,26651,12.74
2327-0608,,21100863710,12.19
2213-8595,2213-8587,21100237403,12.19
1553-4006,1553-4014,11300153736,12.19
0304-4076,1872-6895,28973,12.17
1522-1210,0031-9333,24004,12.17
1097-4180,1074-7613,20798,12.16
2059-3635,2095-9907,21100888816,12.13
0140-6736,1474-547X,16590,12.11
1550-4131,1932-7420,146172,11.99
2662-1347,,21101023100,11.94
1474-4465,1474-4422,16860,11.73
2380-8942,2380-8950,21100466539,11.67
1749-4885,,5700165152,11.55
0306-0012,1460-4744,23350,11.47
2468-1253,,21100786228,11.4
2662-8643,2097-1710,21101151587,11.39
1470-2045,1474-5488,12354,11.32
1527-7755,0732-183X,29949,11.2
1097-6256,1546-1726,17436,11.2
2520-1131,,21100884663,11.08
2542-4351,,21100834904,10.87
2157-1716,2157-1724,21100258425,10.79
1759-5010,1759-5002,17700156509,10.66
1600-0641,0168-8278,25297,10.57
1944-9208,8755-1209,28599,10.55
1754-5692,1754-5706,17500155114,10.53
0001-4273,,20191,10.53
1095-9203,0036-8075,23571,10.42
0001-8392,1930-3815,16036,10.39
1529-2908,1529-2916,21315,10.39
1573-448X,,17700155016,10.23
1756-8722,,17900156736,10.19
1552-7425,1094-4281,22330,10.18
1097-0266,0143-2095,23157,10.18
2157-846X,,21100831443,10.11
1759-5045,1759-5053,17700156208,9.91
2522-5820,,21100972445,9.8
1947-5454,1947-5462,19700188417,9.79
1537-2642,0889-3365,20110,9.76
2097-2431,2667-1417,21101141505,9.73
0149-2195,1545-861X,110092,9.56
1545-4509,0066-4154,16801,9.52
0935-4956,1432-0754,26756,9.46
1471-0048,1471-003X,17437,9.33
1934-5909,1875-9777,6100153018,9.31
1476-4598,,12429,9.26
1945-7189,0163-769X,26038,9.18
0066-2313,,24722,9.14
0001-5962,,24527,9.07
1097-4164,1097-2765,18606,9.05
1558-3597,0735-1097,22401,9.02
1468-3288,0017-5749,28366,8.87
0935-9648,1521-4095,19881,8.85
1748-7838,1001-0602,13900,8.74
0033-2909,1939-1455,13443,8.7
0009-7322,1524-4539,22581,8.67
0149-2063,1557-1211,20635,8.64
0003-486X,,24721,8.63
1945-7790,1945-7782,19900191767,8.6
1873-2208,0079-6425,17899,8.57
0093-5301,1537-5277,22899,8.56
1873-7560,0302-2838,19897,8.53
2468-2667,,21100804406,8.41
1475-679X,0021-8456,29857,8.4
1614-6832,1614-6840,21100199127,8.38
2374-2445,2374-2437,21100420583,8.38
0163-7525,1545-2093,19584,8.29
0895-3309,,28980,8.26
1545-4479,0066-4189,13839,8.26
1545-2123,1543-5008,16721,8.26
1573-692X,1572-3097,16160,8.22
2470-9468,,21100860945,8.22
2666-6758,,21101038708,8.22
2311-6706,2150-5551,21100203115,8.19
1941-1383,1941-1391,19700200701,8.09
1758-6798,1758-678X,21100198409,8.05
0360-1285,,27538,8.03
1526-5455,1047-7039,22324,8.03
1548-5951,1548-5943,4600151524,8.02
2731-6092,,21101272993,7.99
1943-8206,,21100228100,7.98
1556-1380,1556-0864,6400153137,7.95
1945-7731,1945-774X,19900191884,7.94
1759-5037,1759-5029,17700156440,7.88
0304-3932,,17555,7.87
0066-4278,1545-1585,120008,7.82
2520-8136,2520-8489,21101046230,7.79
0305-1048,1362-4962,14204,7.78
1476-4679,1465-7392,19014,7.71
0732-2399,1526-548X,23714,7.54
2522-5812,,21100932733,7.53
0165-4101,,29838,7.51
1542-4774,1542-4766,7500153126,7.5
2215-0374,2215-0366,21100356804,7.46
1614-4961,2367-3648,19700173023,7.43
0034-6535,1530-9142,24204,7.42
2767-441X,2767-4401,21101274720,7.35
1759-507X,1759-5061,17700156202,7.31
1932-8346,1932-8354,19600166419,7.31
2398-9629,,21100873499,7.29
2159-8274,2159-8290,21100212318,7.28
1528-0012,0016-5085,28330,7.2
1745-2473,,4000151822,7.13
0147-006X,1545-4126,14181,7.11
2662-8465,,21101083188,7.08
1934-6069,1931-3128,5300152732,7.07
2731-0574,,21101159371,7.06
0927-796X,,17814,7.06
1088-6834,0894-0347,24668,7.03
0733-8716,,18902,7.02
1522-8517,1523-5866,12499,6.97
0022-2437,1547-7193,22961,6.96
2515-2459,2515-2467,21101046404,6.95
1094-2939,1545-1577,15646,6.9
0092-0703,1552-7824,24385,6.9
2058-5276,,21100773752,6.89
1042-2587,1540-6520,100147318,6.88
2631-7877,,21101186818,6.87
2589-7500,,21100922606,6.84
1939-1854,0021-9010,15388,6.8
2380-8195,,21100832985,6.8
1545-326X,0066-4219,27498,6.79
1530-8995,1081-0706,18395,6.79
2213-2619,2213-2600,21100220495,6.79
1618-1913,0073-8301,11700154368,6.78
1097-4199,0896-6273,17978,6.75
1946-6234,1946-6242,19700174677,6.72
1755-4330,1755-4349,18100156701,6.71
1873-7811,0272-7358,12854,6.62
1474-0508,0962-4929,24535,6.61
1521-0081,0031-6997,21191,6.6
1548-8004,0022-166X,24870,6.59
1941-0611,1941-1405,19700188395,6.57
1935-5548,0149-5992,25491,6.57
1560-2745,1878-9129,18567,6.55
1545-2948,0066-4197,21706,6.45
2160-3308,,21100201772,6.41
0734-306X,1537-5307,20246,6.4
2523-3548,,21100866005,6.4
2542-5196,,21100858657,6.39
2959-8753,,21101271598,6.38
0092-5853,1540-5907,15555,6.28
0268-4012,,15631,6.26
1478-0895,1478-0887,5100155099,6.25
1558-2256,0018-9219,17915,6.25
2666-979X,,21101101215,6.24
2168-6157,2168-6149,21100228519,6.24
0883-9026,,23860,6.23
2770-596X,2770-5986,21101134733,6.22
1545-9993,1545-9985,12394,6.19
0020-9910,1432-1297,23262,6.18
2791-0091,2790-8119,21101142543,6.16
0079-6700,,26465,6.09
2662-1355,,21101041558,6.09
2213-6657,,21100261712,6.08
1941-1367,1941-1375,19700200702,6.06
1094-6705,1552-7379,144974,6.01
2451-9308,2451-9294,21100788876,6.01
2731-6084,,21101270120,5.96
2470-9476,,21100886132,5.94
2380-6583,2380-6591,21100826360,5.94
2042-0226,1672-7681,3500148004,5.92
0084-6597,,22005,5.88
2522-5839,,21101007236,5.88
2572-116X,2214-109X,21100265444,5.87
1750-2799,1754-2189,5800207366,5.85
2160-0031,1529-1006,13969,5.85
1350-9462,1873-1635,15090,5.84
0022-1007,1540-9538,21272,5.83
1759-4766,1759-4758,17700156408,5.83
1528-0020,0006-4971,25454,5.82
1573-7136,1380-6653,12963,5.82
0008-8846,,23833,5.82
0360-0300,1557-7341,23038,5.8
1532-6985,0046-1520,13564,5.79
2405-8297,,21100420314,5.79
2168-6238,2168-622X,21100228547,5.75
1369-7021,1873-4103,24769,5.75
0370-1573,,29229,5.74
0003-4967,1468-2060,19136,5.73
0025-1909,1526-5501,21307,5.72
1474-760X,1474-7596,40944,5.71
1460-2105,0027-8874,12459,5.7
2637-9368,,21101045745,5.7
1545-2050,1543-5938,28800,5.7
2567-3165,,21101070988,5.68
1361-6633,0034-4885,29709,5.67
1941-4927,1941-4935,17600155130,5.63
0893-8512,1098-6618,19651,5.59
0890-6955,,19164,5.58
1388-9842,1879-0844,23188,5.56
0270-9139,1527-3350,28371,5.56
1520-5126,0002-7863,22680,5.55
1433-7851,1521-3773,22687,5.55
2397-3374,,21100838541,5.54
1537-5943,0003-0554,15557,5.53
1552-4469,1552-4450,4000148205,5.52
1674-2052,1752-9867,17600155011,5.52
1540-1413,1540-1405,146215,5.51
1759-4790,1759-4804,17800156710,5.51
1088-8683,1532-7957,12812,5.49
1750-1326,,5700191214,5.49
0022-2380,1467-6486,20650,5.46
0962-8924,1879-3088,19066,5.46
1474-4457,1473-3099,22471,5.45
1616-301X,,25143,5.44
0001-4842,1520-4898,22657,5.43
1936-878X,1876-7591,11300153407,5.43
0031-5826,1744-6570,12817,5.41
2731-0582,,21101175791,5.4
1048-9843,,21149,5.39
1745-6916,1745-6924,19700182323,5.39
1674-8018,1674-800X,19600166320,5.39
1468-0297,0013-0133,23011,5.37
1460-2369,1355-4786,15623,5.36
1538-3598,0098-7484,85291,5.35
2691-3399,,21101081601,5.34
2047-217X,,21100420802,5.31
1368-7646,1532-2084,12611,5.28
0002-953X,1535-7228,17664,5.27
0360-0572,1545-2115,16976,5.26
2666-5247,,21101041613,5.26
1945-7669,1945-7685,19900191883,5.22
2213-1787,2213-1779,21100241219,5.22
2666-920X,,21101074919,5.22
1543-592X,,110325,5.21
1741-315X,1476-1270,11800154593,5.21
2589-7780,,21101047377,5.19
1873-3883,0926-3373,16343,5.18
1534-5807,1878-1551,18525,5.18
2666-7568,,21101041612,5.17
1936-1238,1936-122X,12000154482,5.15
2044-5385,,21100205926,5.14
1752-0908,1752-0894,17600155041,5.14
2772-834X,,21101118502,5.1
2168-6211,2168-6203,21100228540,5.08
1756-994X,,19700175140,5.08
0047-2506,1478-6990,24392,5.08
1073-449X,1535-4970,18000,5.08
1558-9080,,4700152287,5.06
1741-3044,0170-8406,28312,5.03
2047-7538,,21100278313,5.02
1432-1238,0342-4642,14719,5
1522-9645,0195-668X,23183,4.99
1531-5088,0020-8183,39139,4.98
2405-4720,2405-4712,21100394875,4.94
2352-3026,2451-9960,21100370017,4.94
1082-989X,1939-1463,13461,4.93
0033-3190,1423-0348,19181,4.9
0009-7330,1524-4571,23063,4.9
0169-5347,1872-8383,14365,4.88
1350-9047,1476-5403,18457,4.87
1526-5536,1047-7047,15574,4.85
1743-7202,1743-7199,19400158464,4.84
0261-4189,1460-2075,17435,4.82
2055-026X,2055-0278,21100416121,4.82
2590-2393,2590-2385,21100943502,4.8
1078-0432,1557-3265,29263,4.8
1744-4292,,4700152228,4.78
2577-5421,,21101060200,4.78
0090-5364,,13649,4.77
2041-1723,,19700182758,4.76
2164-5760,2164-5744,21100860760,4.75
2405-8033,2405-8025,21100445640,4.73
0166-2236,1878-108X,19939,4.73
0306-3674,1473-0480,19817,4.72
0021-9738,1558-8238,15870,4.72
1460-2156,0006-8950,14317,4.72
1063-6919,,24212,4.72
0034-6543,1935-1046,16512,4.7
0006-3223,1873-2402,14308,4.68
1469-896X,0961-8368,14280,4.66
0066-4170,1545-4487,19133,4.66
0010-8545,,23470,4.64
2168-6114,2168-6106,21100228546,4.62
2045-9920,2045-9939,21100926577,4.62
1949-3053,,19700170610,4.61
1365-2486,1354-1013,15131,4.6
2211-2855,,21100197947,4.57
1523-2409,1745-493X,100147317,4.56
1549-4713,0161-6420,14639,4.55
1532-7663,1057-7408,28181,4.55
1046-3283,1479-277X,18300156710,4.54
1537-6605,0002-9297,21677,4.53
2001-3078,,21100797856,4.52
1873-1317,0272-6963,19169,4.52
2662-1991,,21101091924,4.51
2352-3018,,21100369870,4.51
1879-307X,1364-6613,15359,4.51
0066-4227,1545-3251,19614,4.5
0903-1936,1399-3003,18458,4.5
1759-0876,1759-0884,21100200203,4.5
1936-086X,1936-0851,11500153511,4.5
1748-5908,,5700191210,4.49
1526-5498,1523-4614,21789,4.49
0276-7783,2162-9730,12402,4.49
0001-6322,1432-0533,17552,4.48
1460-6976,0001-8732,26978,4.47
0278-2715,1544-5208,20833,4.47
0022-1090,1756-6916,80370,4.47
1557-7805,0091-3367,28179,4.45
1536-1276,1558-2248,18933,4.45
2168-2275,2168-2267,21100274221,4.45
1554-8635,1554-8627,3900148405,4.45
0958-9465,,23811,4.45
1759-7323,1759-7331,21100255526,4.44
0199-9885,1545-4312,29993,4.43
0146-6410,,29488,4.43
1536-1284,,18935,4.41
1040-726X,1573-336X,14278,4.38
1469-185X,1464-7931,9500153903,4.38
2198-6061,,21100873474,4.36
2643-6728,,21101080487,4.36
2397-334X,,21100831440,4.36
1047-1987,1476-4989,145558,4.35
2375-2548,,21100457028,4.32
1873-0353,0022-1996,24393,4.32
2643-3230,2643-3249,21101133552,4.32
0906-6713,1600-0757,22913,4.32
1090-9516,,29400,4.3
2352-4642,,21100834316,4.29
1527-8204,1545-293X,21708,4.28
1549-1277,1549-1676,144840,4.28
1949-3029,1949-3037,19700177027,4.26
2766-2098,2766-8509,21101188438,4.23
2051-1426,,21100466864,4.22
1568-1637,1872-9649,28475,4.22
1532-2955,1087-0792,19837,4.21
2054-9369,2095-7467,21100455629,4.21
0022-4359,,22990,4.2
0003-1224,1939-8271,16929,4.2
0305-7372,1532-1967,29213,4.18
1756-2171,0741-6261,23672,4.17
0735-0015,1537-2707,27162,4.17
1552-3829,0010-4140,13447,4.17
2398-6352,,21101012669,4.16
2666-4984,,21101042161,4.16
1362-4326,0968-0004,14816,4.16
0018-7267,1741-282X,27069,4.15
0261-5177,1879-3193,16547,4.15
0085-2538,1523-1755,19992,4.13
1872-6305,1566-2535,26099,4.13
2168-6262,2168-6254,21100228543,4.13
2046-9136,2046-9128,21100926579,4.12
1932-4553,,5900153311,4.12
2049-2618,,21100401152,4.12
2050-5086,,21100887442,4.12
0162-1459,1537-274X,12094,4.1
2731-0590,,21101163245,4.1
0047-2727,,29009,4.09
1873-2194,0163-7827,26463,4.09
2666-7762,,21101053562,4.09
1537-1719,0737-4038,12216,4.08
2452-199X,,21100854881,4.08
1866-3516,1866-3508,21100284918,4.07
0049-1241,1552-8294,18091,4.06
1460-8545,1468-2370,20037,4.05
1368-4221,1368-423X,4700152266,4.05
2095-4700,2095-6231,21100398001,4.05
0001-4826,1558-7967,28096,4.04
2662-4966,,21101276610,4.03
1545-4304,0362-1642,19479,4.03
2666-3791,,21101027628,4.03
2327-0578,2327-056X,21100390174,4.03
1476-5578,1359-4184,17382,4.02
1759-2879,1759-2887,21100403241,4.02
1096-3650,1044-579X,24046,4.02
1525-0024,1525-0016,12455,4.01
2325-6826,2325-6818,21100863648,4.01
2397-3366,,21100826565,4.01
1549-5477,0890-9369,22126,4.01
1226-3613,2092-6413,17476,4
0193-6530,,26020,4
0066-4286,1545-2107,16715,3.98
0038-0717,,14802,3.98
1751-7362,1751-7370,5800173382,3.97
0034-4257,,12503,3.97
1672-0229,2210-3244,89440,3.96
2472-3428,,21100981157,3.96
2667-3452,,21101136681,3.95
0163-8998,,14621,3.95
1755-3245,0008-6363,22570,3.95
0304-3878,,14834,3.94
2168-0949,2168-0930,21101208862,3.94
1097-6825,0091-6749,21267,3.94
1053-4822,,24719,3.93
1610-3653,1610-3661,144946,3.93
0168-9525,1362-4555,19049,3.93
2524-7921,2524-793X,21101089402,3.92
0140-9883,1873-6181,29374,3.92
1547-7398,0012-7094,25936,3.91
2365-9440,,21100466714,3.91
0162-8828,,24254,3.91
1549-5469,1088-9051,22214,3.91
1461-023X,1461-0248,14599,3.91
2326-3601,2326-3598,21100840179,3.9
2077-7019,2077-7000,21100447118,3.9
1364-0321,1879-0690,27567,3.9
1471-4906,1471-4981,21365,3.89
0112-1642,1179-2035,20373,3.89
0007-2303,1533-4465,28418,3.88
0008-5472,1538-7445,29183,3.88
0167-8116,,22833,3.87
0166-0616,,17269,3.87
0022-3514,,30039,3.87
2329-9266,2329-9274,21100367773,3.86
1099-1379,0894-3796,30020,3.86
1555-7561,1933-6837,6400153126,3.86
0033-8419,1527-1315,17864,3.86
1095-9068,0094-1190,24406,3.85
2047-9158,,21100256102,3.85
0010-3640,1097-0312,25820,3.85
0043-1354,1879-2448,18795,3.84
2056-5968,,21100819064,3.84
1747-938X,,4700152248,3.84
2665-9913,,21100942855,3.84
1559-0097,1046-3976,26031,3.83
2666-6359,2666-6340,21101049542,3.82
0043-8871,1086-3338,25725,3.81
2333-2077,2333-2050,21101041823,3.81
0018-9286,1558-2523,17339,3.8
1757-7799,1757-7780,19900191605,3.8
1879-016X,0163-7258,21195,3.8
2211-1247,2639-1856,21100201068,3.8
1547-6537,1064-3389,23895,3.79
2326-5191,2326-5205,21100297606,3.78
2155-5435,,19700188320,3.78
2198-3844,,21100470165,3.77
2397-4621,,21101017370,3.77
1873-3735,0165-6147,22321,3.77
2666-0873,,21101023287,3.77
0963-8687,,12396,3.77
2766-8541,2692-4560,21101169024,3.76
1533-3450,1046-6673,19370,3.75
2949-9291,,21101198591,3.74
1531-8249,0364-5134,14179,3.74
2766-8525,2688-819X,21101172088,3.72
0169-409X,1872-8294,19409,3.72
2666-7924,,21101074917,3.72
2041-8213,2041-8205,19900192103,3.71
2667-1093,2667-1107,21101080172,3.71
1532-298X,1040-4651,16594,3.7
1943-0264,,19700176402,3.7
1387-6473,,27732,3.7
2573-5144,,21101073279,3.69
0013-936X,1520-5851,21537,3.69
2162-237X,2162-2388,21100235616,3.69
0090-4848,1099-050X,24718,3.66
2473-2397,2168-6831,21100338322,3.66
1557-928X,0742-1222,15700,3.65
2287-2728,2287-285X,21100224437,3.64
2589-5370,,21100903225,3.63
0278-6125,,14966,3.63
2326-6066,2326-6074,21100368204,3.63
0885-8950,,28825,3.63
0105-4538,1398-9995,20185,3.62
0012-186X,1432-0428,25584,3.62
2575-0348,2575-0356,21101030209,3.62
1063-6706,,24242,3.61
1099-0836,0964-4733,23406,3.61
1520-9156,1557-8593,25545,3.61
1949-0984,1949-0976,19700175861,3.61
1464-3510,0006-3444,15049,3.6
1552-5279,1552-5260,3600148102,3.6
1350-1917,1365-2575,12321,3.6
1540-5885,0737-6782,27679,3.6
2352-3964,,21100369815,3.59
2227-8508,2226-4108,21100464567,3.59
2059-7029,,21100873339,3.58
2772-9850,,21101166978,3.58
1471-499X,1471-4914,20205,3.58
0950-6608,1743-2804,21119,3.57
1757-4676,1757-4684,19600166310,3.57
0007-1234,1469-2112,16232,3.56
2096-4579,,21101039661,3.56
2332-8363,2164-8344,12600154733,3.56
2590-3462,,21101027216,3.55
2574-3805,,21100900345,3.55
1550-5499,,110561,3.54
0749-6419,,21117,3.53
0026-0495,1532-8600,26203,3.53
1876-7605,1936-8798,11300153408,3.53
2589-5559,,21101037196,3.52
1744-3210,0958-8221,144747,3.51
1540-9295,1540-9309,144675,3.51
1542-7714,1542-3565,28273,3.51
2590-3330,2590-3322,21101027517,3.51
0148-2963,,20550,3.5
0742-6046,1520-6793,14014,3.5
1089-778X,,25037,3.5
0090-6778,1558-0857,18931,3.49
2211-3843,2211-3835,20700195026,3.49
1750-6824,1750-6816,11600153422,3.49
1043-2760,1879-3061,26746,3.48
0924-2716,,29161,3.48
2662-8457,,21101076096,3.47
0040-1625,,14704,3.47
2042-5805,,21100409642,3.47
0012-8252,,22580,3.46
0960-085X,1476-9344,15074,3.46
0887-6924,1476-5551,26015,3.46
1672-9072,1744-7909,130165,3.46
1477-9803,1053-1858,15823,3.45
1095-7235,0022-0531,28981,3.44
0048-7333,,22900,3.44
0969-6989,,22992,3.44
2041-3866,2041-3874,21100405117,3.43
1468-2508,0022-3816,20333,3.43
2689-5269,2689-5277,21101021641,3.42
2588-9311,,21100904922,3.42
1044-5323,1096-3618,21359,3.42
1941-3084,1941-3149,19300156817,3.42
1551-3203,,144912,3.42
2190-5991,2190-6009,21100204914,3.42
2692-7640,,21101107327,3.41
1091-6490,0027-8424,21121,3.41
2190-4979,2190-4987,19900192023,3.41
2772-9702,,21101196374,3.41
0168-6445,1574-6976,19708,3.41
2367-0983,2367-2617,21100900364,3.4
2095-4956,,21100244836,3.39
0012-9615,,64345,3.38
2631-7990,2631-8644,21101023196,3.38
2050-084X,,21100242814,3.38
1468-330X,0022-3050,16757,3.38
1539-3704,0003-4819,26574,3.38
0304-4130,1475-6765,18437,3.38
1531-7331,1545-4118,20497,3.38
2213-2317,,21100242403,3.37
1872-2067,,25246,3.37
1935-8253,1935-8261,21101274787,3.37
2397-768X,,21101061414,3.37
1932-4391,1932-443X,21100217630,3.37
1838-7640,,21100207003,3.37
1094-9968,1520-6653,22928,3.37
1059-1478,1937-5956,22405,3.36
0012-6667,1179-1950,21239,3.36
1558-173X,0018-9200,17278,3.36
2333-5963,2333-5955,21100861110,3.36
1540-8140,0021-9525,18555,3.36
2574-3414,,21101136879,3.36
0003-6900,1088-8535,15163,3.36
0959-3780,1872-9495,36483,3.36
1475-2840,,25441,3.35
1757-5818,,19600157901,3.35
1538-4365,0067-0049,26769,3.34
0360-1315,,17645,3.34
2444-569X,2530-7614,21100932830,3.34
2040-7122,,19700201414,3.34
1756-9966,0392-9078,29951,3.33
0091-1798,,24724,3.33
1532-8007,1070-5511,15298,3.32
1467-9868,1369-7412,13531,3.31
0166-4972,,14726,3.31
2165-8110,2165-8102,21100330722,3.31
1420-8970,1016-443X,26580,3.3
1613-6829,1613-6810,3200147828,3.3
0105-2896,1600-065X,20810,3.3
1360-1385,1878-4372,17809,3.3
2050-7771,,21100853949,3.3
1469-8137,0028-646X,19908,3.29
1361-8415,1361-8423,17271,3.29
2374-7951,2374-7943,21100824912,3.29
2213-9567,,21100461936,3.28
0163-6804,,17249,3.28
1564-6971,0257-3032,18034,3.28
1574-0137,,8000153138,3.28
0376-0421,,12274,3.27
1885-5857,,21100228571,3.27
2168-2216,2168-2232,21100262320,3.25
0924-2244,,22475,3.25
0929-1199,,17496,3.25
0393-2990,1573-7284,13213,3.24
1468-2354,0020-6598,23666,3.24
2212-8778,,21100224448,3.23
0046-3892,,74502,3.23
0003-9527,1432-0673,25208,3.22
0954-6820,1365-2796,26656,3.22
2522-0128,2522-0136,21101049063,3.21
2666-6510,,21101101212,3.21
1936-8631,1936-8623,19700183600,3.21
1467-8721,0963-7214,13477,3.21
1548-7660,,12137,3.21
2168-1007,,21101146363,3.21
1096-0473,1042-9573,28996,3.2
0003-066X,1935-990X,29492,3.2
2213-2961,2095-2546,21100294621,3.2
1879-0356,1369-5266,17924,3.19
2159-6778,2159-676X,21100199724,3.19
2399-3529,,21101183464,3.19
2661-8001,,21101192674,3.19
1742-2094,,50032,3.18
2689-9620,2831-4093,21101146418,3.18
1021-7770,1423-0127,15849,3.17
3005-3064,3005-3315,21101269349,3.17
0198-6325,1098-1128,19907,3.17
1523-9829,1545-4274,13037,3.17
2096-0662,2096-0433,21100869486,3.17
1096-0449,0095-0696,23352,3.16
1098-5557,1092-2172,20278,3.16
1080-0549,1559-0267,20741,3.16
1774-024X,1969-6213,15000154802,3.16
1878-4380,0966-842X,20862,3.15
0895-4356,1878-5921,15857,3.15
1935-3456,1933-0219,11400153331,3.15
1873-6750,0160-4120,20912,3.14
1532-1827,0007-0920,28770,3.14
2157-1422,,21100235802,3.14
0959-6119,,144742,3.14
2095-2686,,21100201945,3.14
0019-7939,2162-271X,19680,3.14
0920-5691,1573-1405,72242,3.14
2638-6100,,21101055750,3.13
1536-9323,,13300154706,3.12
2731-6696,,21101153191,3.12
0007-6503,1552-4205,20143,3.11
1179-1888,1175-0561,24246,3.1
1552-6542,1056-4926,20639,3.1
1552-6763,0047-2875,14813,3.1
1524-8380,1552-8324,13124,3.09
2162-3619,,21100459104,3.09
0001-8686,,26533,3.09
2688-4062,,21101185512,3.09
1477-0288,0309-1325,12442,3.09
0885-8993,,26055,3.08
2334-2536,,21100407195,3.08
1096-6099,1094-2025,26259,3.08
1873-3336,0304-3894,25858,3.08
0361-8609,1096-8652,25424,3.08
1873-7528,0149-7634,18045,3.08
2352-345X,,21100386500,3.07
0823-9150,1911-3846,29113,3.07
1939-1471,0033-295X,13467,3.06
1099-5129,1532-2092,23181,3.06
1817-6127,1817-6119,19700188393,3.06
0005-1098,,24909,3.05
1877-8585,,19600161806,3.05
2162-4968,,21100778655,3.04
1435-9855,1435-9863,26447,3.04
2274-5807,2426-0266,21100881252,3.04
1941-7632,1941-7640,19700166402,3.04
1573-0697,0167-4544,23859,3.04
1947-5438,1947-5446,19700188418,3.04
1941-3297,1941-3289,19400157233,3.04
2167-082X,2167-0811,21100430187,3.04
2352-250X,,21100372442,3.04
2049-3169,1674-2818,19700180533,3.04
2001-1326,,21100853879,3.03
2590-1168,,21101021443,3.03
2096-6482,2589-9651,21101048264,3.03
0954-5395,,3600148105,3.03
2405-5018,2405-500X,21100415950,3.03
1573-0913,0921-898X,29104,3.02
1523-6838,0272-6386,19366,3.02
0190-9320,1573-6687,22832,3.02
1095-7200,0036-1445,26430,3.02
1467-8667,1093-9687,18144,3.01
0144-1647,1464-5327,98982,3.01
0269-2821,1573-7462,24141,3.01
2332-7812,,21100820001,3.01
0278-0046,,26053,3.01
2755-9734,,21101163294,3.01
1600-0617,0905-9180,18476,3.01
0890-8567,1527-5418,17643,3.01
1467-789X,1467-7881,13363,3.01
1757-7012,1757-7004,21100198522,3.01
0142-9612,1878-5905,28200,3
1537-6591,1058-4838,21817,2.99
1873-9946,1876-4479,9500154109,2.99
2567-3173,,21101098757,2.99
0021-9630,1469-7610,15402,2.99
0885-3185,1531-8257,17407,2.99
0959-8146,1756-1833,51748,2.98
1359-6454,,28583,2.97
2374-4677,,21100867475,2.97
1530-6992,1530-6984,17853,2.97
1557-7368,0730-0301,24972,2.96
1552-3098,,95101,2.96
0033-3352,1540-6210,17167,2.96
1878-044X,1748-0132,4700152457,2.96
1359-8368,,28635,2.96
0269-994X,1464-0597,12029,2.96
0083-2057,2333-0872,73008,2.96
2662-4435,,21101065239,2.95
1940-8412,0305-7267,19700201158,2.95
0008-543X,1097-0142,28785,2.95
0098-2997,1872-9452,19084,2.95
2041-210X,,21100217611,2.95
1863-2297,1863-2300,7100153107,2.95
1076-836X,1063-5157,14305,2.95
2950-1555,,21101263148,2.94
2691-3704,,21101132410,2.94
0893-133X,1740-634X,18017,2.94
1541-4337,,4900152301,2.94
2199-2576,2524-5317,21101021078,2.93
0169-2046,,19041,2.93
0360-5302,1532-4133,25812,2.93
0747-5632,,19419,2.92
0273-2297,1090-2406,13502,2.92
0378-7206,,12303,2.92
0730-8884,1552-8464,19250,2.92
2379-3708,,21100894518,2.92
0013-7952,,15648,2.92
1759-3948,0265-0487,10600153348,2.91
2373-8057,,21100982311,2.91
0024-6301,1873-1872,21203,2.91
1879-033X,0959-440X,17400,2.91
1040-9238,1549-7798,17378,2.91
2397-3722,,21100982468,2.91
1467-7644,1467-7652,16592,2.91
1474-9726,1474-9718,18391,2.9
1931-9401,,21100327726,2.9
2832-6237,2832-6245,21101237955,2.9
2095-5138,2053-714X,21100409368,2.9
